"column_name";"field_description"
"primary_residence";"Is this your primary residence? (Your primary residence is the home where you live for most of the year.)"
"number_floors";"How many floors are in your home? (Finished basement should be considered the first floor.)"
"year_moved_into_house";"What year did you move into your house?"
"month_moved_into_house";"If you selected ""2012"" or ""2013"" above, what month did you move in?"
"year_house_constructed";"What year was your house constructed?"
"foundation_pier_beam";"What type of foundation does your house have? Pier and beam checked"
"foundation_slab";"What type of foundation does your house have? Slab checked"
"house_num_rooms";"How many rooms does your house have?"
"house_square_feet";"What is the square footage of your home?"
"house_ceiling_height";"What is the ceiling height in your home? (in ft.)"
"spend_time_at_home_none";"On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply.) None checked."
"spend_time_at_home_monday";"On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply.) Monday checked."
"spend_time_at_home_tuesday";"On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply.) Tuesday checked."
"spend_time_at_home_wednesday";"On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply.) Wednesday checked"
"spend_time_at_home_thursday";"On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply.) Thursday checked."
"spend_time_at_home_friday";"On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply.) Friday checked."
"ethnicity_asian_pacific_islander";"How would you describe your ethnicity (check all that apply)? Asian/Pacific Islander checked."
"ethnicity_black_african_american";"How would you describe your ethnicity (check all that apply)? Black/African-American checked."
"ethnicity_caucasian_other_than_hispanic_or_latino";"How would you describe your ethnicity (check all that apply)? Caucasian other than Hispanic or Latino checked."
"ethnicity_hispanic_or_latino";"How would you describe your ethnicity (check all that apply)? Hispanic or Latino checked."
"ethnicity_native_american_alaska_native";"How would you describe your ethnicity (check all that apply)? Native American/Alaska Native checked."
"ethnicity_other";"How would you describe your ethnicity (check all that apply)? Other checked."
"ethnicity_decline";"How would you describe your ethnicity (check all that apply)? Decline to respond checked."
